Criteria;Province;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
Highway density;Hainan;27,67352941;27,90882353;29,6;29,59117647;29,50294118;29,76176471;36,21470588;36,06176471;37,17941176;41,36470588;41,5;41,4;37,57941176;37,57941176;37,58235294;37,6;37,66176471;37,62941176;37,69411765;37,95;37,94705882;38,00588235;38,05;38,05;38,27647059;43,55294118;43,81470588;44,84117647;49,76470588;50,36470588;51,17941176;60,78529412;61,4;61,40294118;61,39117647;62,24117647;62,24117647;62,24117647;62,24117647;62,24117647;62,45882353;67,4;71,36764706;73,09411765;76,47647059;79;81,96029412;84,79117647;87,62205882;90,45294118;93,28382353;96,11470588;98,94558824;101,7764706;104,6073529;107,4382353;110,2691176;113,1;115,9308824;118,7617647;121,5926471
Highway density;Chongqing;5,827229069;6,81666956;7,80611005;8,795550541;9,784991032;10,77443152;11,76387201;12,7533125;13,74275299;14,73219348;15,72163398;16,71107447;17,70051496;18,68995545;19,67939594;20,66883643;21,65827692;22,64771741;23,6371579;24,62659839;25,61603888;26,60547937;27,59491986;28,58436035;29,57380084;30,56324134;31,55268183;32,86148238;33,06196841;34,12636695;35,54313487;37,24665857;37,7399757;38,16160389;39,30012151;46,43377886;121,8699878;127,2235723;131,9951397;134,8116646;142,1008505;144,0607533;146,6925881;149,2660996;154,7897934;170,7788578;171,5776428;177,7309842;183,8843256;190,0376671;196,1910085;202,3443499;208,4976914;214,6510328;220,8043742;226,9577157;233,1110571;239,2643985;245,41774;251,5710814;257,7244228
Highway density;Sichuan;0,1;0,1;0,1;0,1;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,372102238;0,372102238;0,372102238;0,372102238;0,372102238;0,372102238;0,372102238;0,372102238;0,372102238;0,372102238;0,372102238;0,372102238;0,372102238;0,372102238;3,501710604;6,63131897;15,80099709;16,96011633;18,55380141;18,87723307;22,58496053;23,24428749;23,37827171;23,48213544;23,82509348;34,21022019;39,34254258;46,63107603;51,75903614;55,27253843;58,84254258;60,96780224;62,69547154;64,3419194;65,55504778;67,52029497;69,20020773;70,88012048;72,56003324;74,23994599;75,91985875;77,5997715;79,27968425;80,95959701;82,63950976;84,31942252;85,99933527;87,67924803;89,35916078;91,03907354
Highway density;Guizhou;13,91875;15,07727273;15,51477273;16,43522727;16,99715909;17,05738636;17,33352273;17,33352273;15,51818182;15,54147727;15,54943182;15,58068182;15,62443182;15,72443182;15,83636364;15,90852273;16,12670455;16,94488636;17,29829545;17,45227273;17,70284091;17,94772727;18,11875;18,23409091;18,40795455;18,45852273;18,57954545;18,86988636;19,09318182;19,30284091;19,68352273;19,66875;25,125;25,74090909;26,20909091;26,64375;64,3625;70,02670455;71,23011364;81,00056818;86,16136364;89,67045455;93,48977273;98,04772727;101,7494318;105,9130682;109,9975568;114,0720455;118,1465341;122,2210227;126,2955114;130,37;134,4444886;138,5189773;142,5934659;146,6679545;150,7424432;154,8169318;158,8914205;162,9659091;167,0403977
Highway density;Yunnan;7,357161492;8,121054005;10,27498043;10,34176885;10,49726063;10,57813723;10,66475346;10,78919906;10,90947039;11,51813201;11,51813201;11,93660318;12,01487086;12,06104879;12,14714323;12,92486303;13,00965301;13,01304461;13,70571354;14,27915471;14,74980433;15,16384033;15,66527524;16,45864858;17,10879207;17,80224367;18,33524654;19,2593269;20,077485;26,71667101;28,58335507;42,77406731;43,00860944;43,34281242;43,58205061;43,73545526;51,78606835;52,26532742;53,15757892;53,75110879;54,58674667;55,96764936;57,14896948;58,16331855;60,10905296;61,5723976;62,84315158;64,26010957;65,67706757;67,09402557;68,51098356;69,92794156;71,34489956;72,76185755;74,17881555;75,59577355;77,01273154;78,42968954;79,84664753;81,26360553;82,68056353
Highway density;Tibet;1,229478827;1,233061889;1,261156352;1,261156352;1,290879479;1,290879479;1,290879479;1,290879479;1,290879479;1,290879479;1,754967427;1,754967427;1,754967427;1,754967427;1,75985342;1,763843648;1,764006515;1,766693811;1,766693811;1,778013029;1,778664495;1,786970684;1,786970684;1,786970684;1,778664495;1,823371336;1,823371336;1,828583062;1,828583062;1,830211726;1,832491857;2,893892508;3,237785016;3,363355049;3,436726384;3,559934853;3,649267101;3,958550489;4,178664495;4,384771987;4,951954397;5,139087948;5,309283388;5,748452769;6,145765472;6,380130293;6,740114007;7,071970684;7,403827362;7,735684039;8,067540717;8,399397394;8,731254072;9,063110749;9,394967427;9,726824104;10,05868078;10,39053746;10,72239414;11,05425081;11,38610749
Highway density;Shaanxi;10,27480545;10,92169261;11,90418288;12,47276265;14,06079767;15,90758755;17,64250973;18,33365759;18,6848249;16,38570039;17,74416342;17,77772374;17,8983463;17,91439689;17,94503891;18,03891051;18,32101167;18,33560311;18,43190661;18,45282101;18,47568093;18,57636187;18,63715953;18,74319066;18,99756809;19,27042802;19,55252918;20,03988327;20,52626459;21,01750973;21,4036965;22,01994163;22,64785992;24,32830739;25,64202335;26,50389105;55,10846304;58,99659533;63,7344358;70,09192607;71,72227626;73,92315175;78,50729572;80,37402724;81,29620623;82,71838521;85,47762646;87,5155642;89,55350195;91,59143969;93,62937743;95,66731518;97,70525292;99,74319066;101,7811284;103,8190661;105,8570039;107,8949416;109,9328794;111,9708171;114,0087549
Highway density;Gansu;5,976012324;6,509683099;6,740316901;7,037191901;7,232394366;7,415052817;7,600132042;7,566461268;7,597051056;7,352552817;7,401408451;7,042913732;7,056558099;7,122579225;7,159110915;7,159110915;7,388644366;7,523547535;7,560299296;7,617297535;7,638204225;7,653169014;7,663292254;7,674955986;7,698943662;7,745158451;7,776848592;7,83318662;7,892825704;7,969190141;8,658450704;8,768485915;8,851892606;8,867297535;8,968089789;9,095510563;21,04797535;22,14172535;23,2477993;25,08802817;26,16175176;27,22183099;28,87345951;29,40074824;30,38820423;30,82130282;31,95521567;32,82658451;33,69795335;34,56932218;35,44069102;36,31205986;37,1834287;38,05479754;38,92616637;39,79753521;40,66890405;41,54027289;42,41164173;43,28301056;44,1543794
Highway density;Qinghai;1,742212377;1,754672574;1,762564032;1,779592967;1,790530251;1,796898796;1,817112003;1,834556279;1,893257649;2,145230514;2,145507407;2,145507407;2,168627994;2,1725045;2,18358023;2,205870137;2,241312474;2,295168213;2,308597536;2,310120449;2,316488993;2,321611519;2,333379482;2,348470165;2,36591444;2,384466288;2,406617749;2,442198532;2,483178735;2,529143015;2,58604458;3,229682957;3,323134432;3,374913471;3,884673958;4,114633809;6,607503807;7,285892289;7,84189395;8,325626471;8,609303613;8,899349301;9,135816143;9,707462273;10,06548526;10,46559601;10,87339056;11,27960681;11,68582307;12,09203932;12,49825557;12,90447183;13,31068808;13,71690433;14,12312059;14,52933684;14,93555309;15,34176935;15,7479856;16,15420186;16,56041811
Highway density;Ningxia;5,40813253;5,542168675;5,670180723;5,697289157;5,86746988;5,897590361;6,018072289;7,489457831;7,871987952;10,31325301;10,31325301;10,31325301;10,34487952;10,34186747;10,51656627;10,56626506;10,81475904;11,60240964;12,20783133;12,20783133;12,34939759;12,34939759;12,34939759;12,50150602;12,53614458;12,88253012;13,15963855;13,62650602;14,2876506;15,08283133;15,31777108;16,41415663;16,93524096;17,94578313;18,75903614;19,69578313;29,97439759;30,96686747;31,63855422;32,83885542;33,9126506;36,90662651;39,94277108;43,00301205;47,10240964;50,06024096;53,44307229;56,78975904;60,13644578;63,48313253;66,82981928;70,17650602;73,52319277;76,86987952;80,21656627;83,56325301;86,90993976;90,25662651;93,60331325;96,95;100,2966867
