Area;Indicator _English;Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;;;;;
Global Indices;Environmental rating;ER;0,729487179;0,716025641;0,702564103;0,689102564;0,675641026;0,662179487;0,648717949;0,63525641;0,621794872;0,608333333;0,594871795;0,581410256;0,567948718;0,554487179;0,541025641;0,527564103;0,514102564;0,500641026;0,487179487;0,473717949;0,46025641;0,446794872;0,433333333;0,419871795;0,406410256;0,392948718;0,379487179;0,366025641;0,352564103;0,339102564;0,325641026;0,312179487;0,298717949;0,28525641;0,271794872;0,258333333;0,3;0,2;0,1;0,2;0,2;0,3;0,2;0,1;0,1;0,2;0,1;0,05;0,07;0,07;0,06;0,06;0,05;0,05;0,04;0,05;0,06;0,045;0,035;0,034464286;0,032559524;0,030654762;0,023035714;0,021130952;0,01922619;0,011607143;0,009702381;0,007797619;0,011200397;0,012301587;0,013402778;;;;;
Global Indices;Biocapacity ;BC;0;0;0;0;0,1;0,1;0,1;-0,1;-0,1;-0,1;-0,1;-0,1;-0,1;-0,2;-0,2;-0,3;-0,3;-0,3;-0,4;-0,5;-0,5;-0,5;-0,4;-0,4;-0,4;-0,4;-0,4;-0,7;-0,7;-0,7;-0,7;-0,7;-0,8;-0,8;-0,8;-0,9;-1;-1;-1;-1;-1;-1,1;-1,2;-1,3;-1,5;-1,7;-1,8;-1,9;-2,1;-2,2;-2,4;-2,6;-2,6;-2,7;-2,7;-2,7;-2,6;-2,8;-2,7;-2,6;-2,6;-2,5;-2,4;-2,4;-2,4;-2,4;-2,5;-2,4;-2,4;-2,4;-2,4;;;;;
Global Indices;Footprint per person ;FP;1;1;1;1;0,9;0,9;0,9;1;1;1;1;1;1;1,1;1,1;1,2;1,2;1,2;1,3;1,4;1,3;1,4;1,3;1,3;1,3;1,3;1,3;1,5;1,5;1,5;1,5;1,5;1,6;1,7;1,7;1,8;1,8;1,9;1,9;1,9;1,9;2;2,1;2,2;2,4;2,6;2,7;2,8;3;3,1;3,3;3,5;3,6;3,7;3,7;3,7;3,6;3,8;3,7;3,6;3,6;3,5;3,4;3,4;3,4;3,4;3,5;3,4;3,4;3,4;3,4;;;;;
Global Indices;Biocapacity per person;B/P;1;1;1;1;1;1;1;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,8;0,9;0,9;0,9;0,9;0,9;0,9;0,8;0,8;0,8;0,8;0,8;0,8;0,9;0,9;0,9;0,8;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;0,9;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;
Global Indices;GDP PPP M.$;GDP_PPP;59717;50057;47209;50707;59708;70436;76720;72882;70847;79706;92603;99801;113688;138544;144182;163432;153941;174938;149541;178281;305348;290827;286719;307677;316328;312616;303340;330303;411923;461066;398623;415604;495671;623054;566471;736870;867224;965338;1032570;1097140;1214920;1244080;1477500;1671070;1966240;2308800;2744290;3571450;4604290;5121680;6066350;7522100;8570350;9635030;10534530;11226190;11221840;12062280;13407400;10534531;11226191;11221841;8570352;9635032;10534532;13407402;7522103;8570353;11221843;12062283;13407403;;;;;
Global Indices;GDP PPP growth,%;GDP_PPP_g;15,1;13,3;0,8;11,17;11,12;4,1;3,8;9,2;14,1;13,27;13,18;7,1;3,8;7,8;2,3;8,7;-1,6;7,6;11,7;7,6;7,8;5,1;9;10,8;15,2;13,4;8,9;11,7;11,2;4,2;3,9;9,3;14,2;13,9;13;11;9,9;9,2;7,8;7,7;8,5;8,3;9,1;10;10,1;11,4;12,7;14,2;9,7;9,4;10,6;9,5;7,9;7,8;7,3;6,9;6,7;6,8;6,9;7,3;6,9;6,7;7,9;7,8;7,3;8;9,8;7,9;6,7;6,8;7;;;;;
Global Indices;GDP per capita, USD;GDP_PC;90;76;70;73;85;97;103;95;90;99;112;117;130;155;159;177;164;184;155;183;309;291;282;299;303;295;282;302;371;409;349;359;423;526;473;608;709;781;828;872;959;1053;1150;1293;1513;1766;2111;2703;3467;3838;4524;5583;6329;7081;7702;8167;8116;8677;9465;7194;8167;8116;6331;7256;7318;9647;5586;6332;8116;8677;9648;;;;;
Global Indices;GDP P.C. Annual growth (%);GDP_PC_ag;-0,076;-0,157;-0,077;0,045;0,155;0,147;0,06;-0,073;-0,055;0,095;0,129;0,05;0,114;0,191;0,022;0,114;-0,071;0,121;-0,157;0,177;0,693;-0,061;-0,03;0,059;0,016;-0,027;-0,045;0,071;0,228;0,103;-0,148;0,029;0,179;0,243;-0,101;0,287;0,165;0,102;0,06;0,054;0,099;0,099;0,092;0,124;0,17;0,167;0,195;0,281;0,283;0,107;0,179;0,234;0,134;0,119;0,088;0,06;-0,006;0,069;0,112;0,089;0,061;-0,007;0,136;0,1111;0,081;0,114;0,237;0,137;-0,009;0,0612;0,115;;;;;
Global Indices;Dow Jons Sust index China (from 1996);DJSIC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9800;9300;10100;9600;10400;9900;10700;10200;11000;10500;11300;10800;12866;8000;10572;11980;12720;13680;16257;17511;17149;12777,91667;15201,33333;17739,88095;18150,59425;15089;20204,16071;20614,87401;18987;22668,44048;23079,15377;18789;25132,72024;20987;20176;;;;;
Global Indices;Energy Intensity Index;EII;29,4;29,1;29;28,98;28,98;28,66;28,23;28,34;28,2;28,12;28;27,89;27,9;27,87;27,76;27,56;27,43;27;26,9;26,87;26;25,78;25,7;24,98;24,45;24,56;23,45;23;22,5;21,19;21,08;18,88;17,08;15,88;14,71;14,23;13,3;12,7;11,36;10,76;10,23;9,83;9,62;9,99;10,36;10,28;9,92;9,45;8,89;8,69;8,68;8,5;8,19;7,85;7,43;7,4;7,4;8,556666667;8,142333333;7,750559524;7,726150794;7,701742063;7,604107143;7,579698413;7,555289683;7,457654762;7,433246032;7,408837302;7,311202381;7,286793651;7,262384921;;;;;
Energy Index;EROI natural gas;EROIg;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,1;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,2;3,3;3,2;3,3;3,3;3,2;3,3;3,2;3,3;3,2;3,2;3,3;3,4;3,3;3,4;3,4;3,5;3,5;3,5;4,52;3,5;3,71;3,59;3,59;3,52;3,7;3,79;5,14;5,96;6,33;6,54;6,23;6,32;5,87;5,44;4,81;4,58;4,68;5,01;5,23;4,67;4,98;5,2;4,89;5,23;5,13;6,35;5,8;6,23;5,78;6,37;6,23;6,78;6,45;;;;;
Energy Index;EROI oil;EROIo;7,45;7,45;7,45;7,54;7,45;7,45;7,56;7,56;7,46;7,23;7,34;7,22;6,88;7;7,2;7;7,3;7;7;7;7,6;7,5;7,6;7,6;7,6;7,6;7,5;7,5;7,5;7;7;5,7;5,6;6,5;7;7;7,98;6,29;7,18;7,54;5,82;6,39;6,67;5,98;5,41;4,91;4,42;4,54;3,57;4,99;4,08;3,48;3,58;3,94;4,27;4,2;4,1;4,6;4,23;4,5;4,2;3,8;4,34;3,98;3,87;3,78;3,67;3,87;3,98;3,56;3,34;;;;;
Energy Index;EROI coal;EROIc;13;13;13;13;13;13;13;13;12,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;12,5;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;11,54;10,01;9,21;9,96;9,81;9,71;10,01;10,58;13,12;13,7;13,79;13,6;13,4;12,09;11,96;11,87;12,15;11,99;12,98;14;13,87;14,1;13,2;14,2;12,8;11,8;12,6;11,6;10,65;11,6;12,5;11,45;10,65;10,56;10,87;;;;;
Energy_oil;Historical Production;HPO;5,2;5,31;5,75;6,48;8,48;11,31;14,55;13,88;15,99;21,74;30,65;39,41;45,67;53,61;64,85;77,06;87,16;93,64;104,05;106,15;105,95;101,22;102,12;106,07;114,61;123,842;127,74;130,063;131,725;130,925;129,911;131,578;131,479;132,5656;134,2107;136,0111;145,4326;147,2093;147,3443;147,4282;150,1579;151,514;153,7573;156,2347;160,504;166,8429;169,1254735;169,4601353;172,2660384;169,8949377;181,8065362;180,6597198;182,853;;;;;;;;;;;;;;;;;;;;;;;
Enerfy_oil;Peakoil forecast data;PeakO;8,258597659;10,29767435;12,58308937;15,10998144;17,87093024;20,85628505;24,05448126;27,45234136;31,03535816;34,78795887;38,6937493;42,73573801;46,89654047;51,15856377;55,50417237;59,91583584;64,37625941;68,86849825;73,3760566;77,88297263;82,37389021;86,83411845;91,24968012;95,60734981;99,89468283;104,1000357;108,2125789;112,222303;116,1200189;119,8973521;123,5467326;127,0613809;130,4352904;133,663206;136,7406009;139,6636514;142,4292089;145,0347717;147,478455;149,7589602;151,875544;153,8279871;155,6165624;157,2420041;158,7054765;160,0085435;161,1531385;162,141535;162,9763184;163,6603577;164,1967792;164,5889402;164,8404043;164,9549177;164,9363859;164,7888526;164,5164785;164,1235221;163,6143209;162,9932738;162,2648252;161,4334491;160,5036349;159,4798738;158,3666466;157,1684119;155,8895957;154,534581;153,1076996;151,6132234;150,0553572;;;;;
Energy_coal;Historical Production;HPC;0,397;0,27762;0,21955;0,21707;0,21457;0,2318;0,252;0,206;0,22;0,266;0,354;0,392;0,41;0,417;0,413;0,482;0,483;0,55;0,618;0,635;0,62015;0,62164;0,66633;0,71453;0,78923;0,872284;0,894039;0,927965;0,979876;1,054143;1,079883;1,087406;1,11638;1,150671;1,2399015;1,3607314;1,3966994;1,37282;1,25;1,28;1,29921;1,38152;1,45456;1,722;1,992324;2,2047291;2,373;2,696;2,802;2,937;3,24;;;;;;;;;;;;;;;;;;;;;;;;;
Energy_coal;Peakcoal forecast data;PeakC;0,168833726;0,180608466;0,193182696;0,206607538;0,22093692;0,236227664;0,252539554;0,269935406;0,288481115;0,308245684;0,329301239;0,351723011;0,375589292;0,400981353;0,427983327;0,456682036;0,487166776;0,519529027;0,553862108;0,590260743;0,628820551;0,669637427;0,712806835;0,758422968;0,806577802;0,85736;0,910853685;0,967137062;1,026280884;1,088346761;1,153385311;1,221434151;1,292515748;1,366635121;1,443777433;1,523905481;1,606957125;1,692842689;1,781442392;1,872603852;1,966139742;2,061825662;2,159398324;2,25855412;2,358948182;2,460194029;2,56186389;2,663489792;2,76456551;2,864549429;2,962868377;3,058922452;3,152090841;3,241738591;3,327224264;3,407908364;3,483162389;3,552378319;3,614978334;3,670424507;3,718228222;3,757959041;3,789252752;3,811818359;3,825443769;3,83;3,825443769;3,811818359;3,789252752;3,757959041;3,718228222;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
